nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime,batch_size
43,6,1,41,20,2,12.888506,0.00106,0.001046,0.002105,13.295584,1.463584,14.759168,1551.537188999646,1
43,6,1,41,20,2,10.023621,0.00106,0.001046,0.002105,5.934944,1.380512,191.298721,193.43766199926904,32
43,6,1,41,20,2,10.296694,0.00106,0.001046,0.002105,4.801248,1.06592,308.345764,310.785448000388,64
43,6,1,41,20,2,10.116276,0.00106,0.001046,0.002105,4.292825,1.0496,550.53125,552.8374269997585,128
43,6,1,41,20,2,10.364089,0.00106,0.001046,0.002105,4.306448,1.057056,1103.50769,1105.5172079995828,256
43,6,1,41,20,2,10.128363,0.00106,0.001046,0.002105,4.303428,1.069056,2204.424316,2206.387022999479,512
43,6,1,41,20,2,10.435541,0.00106,0.001046,0.002105,4.307534,0.992256,4411.907227,4414.233626001078,1024
43,6,1,41,20,2,11.088426,0.00106,0.001046,0.002105,4.309789,0.974848,8827.422852,8828.83441499871,2048
43,6,1,41,20,2,10.360324,0.00106,0.001046,0.002105,4.313686,0.999296,17669.857422,17671.68156000116,4096
43,6,1,41,20,2,11.300924,0.00106,0.001046,0.002105,4.350989,1.056768,35644.359375,35646.93666200037,8192
43,6,1,42,21,2,12.302874,0.00106,0.001046,0.002105,4.375687,1.108992,71692.367188,71695.5079470008,16384
